name,sex,event,age,bodyweightkg,weightclasskg,best3squatkg,best3benchkg,best3deadliftkg,totalkg,date
Stine Hamre,F,SBD,20.5,78.75,84,153.0,77.5,155.0,385.5,2016-04-29
Monica S. Rasmussen,F,SBD,43.5,56.6,57,140.0,65.0,142.5,347.5,2016-04-29
Ann Kristin Olsen,F,SBD,48.5,56.65,57,80.0,85.5,95.0,260.5,2016-04-29
Irene Johansen,F,SBD,47.5,60.5,63,100.0,50.0,140.0,290.0,2016-04-29
Kim Eikefet,F,SBD,42.5,83.0,84,105.0,65.0,140.0,310.0,2016-04-29
Eva Engskar,F,SBD,42.5,84.05,84+,145.0,112.5,157.5,415.0,2016-04-29
Hege Henriksen Bubandt,F,SBD,54.5,53.7,57,82.5,47.5,125.0,255.0,2016-04-29
Anne Hellem,F,SBD,54.5,77.7,84,100.0,52.5,142.5,295.0,2016-04-29
Tove Michalsen,F,SBD,56.5,86.9,84+,106.0,57.5,130.0,293.5,2016-04-29
Marit Pettersen,F,SBD,61.5,91.3,84+,105.5,60.0,145.5,311.0,2016-04-29
Hans Jørgen Fjeld,M,SBD,16.5,70.5,74,135.0,117.5,162.5,415.0,2016-04-29
Jacob Florelius,M,SBD,17.5,80.7,83,180.0,135.0,223.5,538.5,2016-04-29
Ali Hamdan,M,SBD,16.5,92.25,93,242.5,160.5,280.0,683.0,2016-04-29
Simon Bråthe Johansen,M,SBD,21.5,73.1,74,192.5,120.0,220.0,532.5,2016-04-29
Chido Nnoli,M,SBD,18.5,81.15,83,210.0,125.0,282.5,617.5,2016-04-29
Fredrik Våge Hovland,M,SBD,22.5,83.0,83,217.5,140.0,260.0,617.5,2016-04-29
Marton Hodnefjell,M,SBD,20.5,81.7,83,150.0,135.0,220.0,505.0,2016-04-29
Tarald Knudsen Øvrebø,M,SBD,20.5,93.0,93,230.0,150.0,265.0,645.0,2016-04-29
Alexander Lancaster,M,SBD,18.5,89.0,93,212.5,142.5,240.0,595.0,2016-04-29
Damian Steinke,M,SBD,18.5,101.95,105,240.0,155.0,275.0,670.0,2016-04-29
Bjarte Vik Larsen,M,SBD,21.5,119.4,120,276.0,200.5,293.0,769.5,2016-04-29
Erik Røen,M,SBD,19.5,129.4,120+,270.0,170.0,290.0,730.0,2016-04-29
Geir Bedin,M,SBD,47.5,82.4,83,220.0,55.0,225.0,500.0,2016-04-29
Odd Arne Opstad,M,SBD,47.5,101.65,105,240.0,160.0,240.0,640.0,2016-04-29
Arve Rønnekleiv,M,SBD,48.5,102.6,105,160.0,125.0,250.0,535.0,2016-04-29
Georg Øksendal,M,SBD,42.5,118.3,120,220.0,180.0,240.0,640.0,2016-04-29
Bjarne Havnen,M,SBD,47.5,115.9,120,200.0,150.0,235.0,585.0,2016-04-29
Geir Ottar Olsen,M,SBD,50.5,81.7,83,180.0,125.0,220.0,525.0,2016-04-29
Roar Fjellet,M,SBD,49.5,82.1,83,195.0,122.5,200.0,517.5,2016-04-29
Bengt Eide-Olsen,M,SBD,54.5,91.85,93,167.5,132.5,180.0,480.0,2016-04-29
Bjørn Flem,M,SBD,51.5,102.85,105,190.0,150.0,195.0,535.0,2016-04-29
Ronny Andersen,M,SBD,51.5,117.05,120,195.0,150.0,200.0,545.0,2016-04-29
Geir Arne Giseth,M,SBD,49.5,137.45,120+,270.0,182.5,300.0,752.5,2016-04-29
Tormod Andersen,M,SBD,59.5,81.95,83,206.0,120.0,225.0,551.0,2016-04-29
Per Nagy,M,SBD,64.5,92.5,93,140.0,87.5,190.0,417.5,2016-04-29
Joakim Eriksson Aas,M,SBD,15.5,89.05,93,160.0,102.5,190.0,452.5,2019-09-14
Vetle Skundberg,M,SBD,19.0,76.9,83,145.0,125.0,155.0,425.0,2019-09-14
Gro-Berit Stavheim,F,SBD,47.5,72.2,84,105.0,57.5,145.0,307.5,2012-12-22
Aksel Stavheim,M,SBD,16.5,95.0,105,175.0,145.0,215.0,535.0,2012-12-22
Edvard Heimen,M,SBD,23.5,92.2,93,200.0,182.5,255.0,637.5,2012-12-22
Liz Tobiassen,F,SBD,17.5,60.0,63,117.5,70.0,137.5,325.0,2022-02-19
Monica Dahle,F,SBD,43.5,54.45,57,125.0,72.5,130.0,327.5,2022-02-19
Helge Sviland,M,SBD,46.5,89.4,93,155.0,137.5,200.0,492.5,2022-02-19
Hans Jørgen Fjeld,M,SBD,22.5,82.9,83,185.0,155.0,200.0,540.0,2022-02-19
Helge Hansen,M,SBD,38.5,92.1,93,245.0,155.0,275.0,675.0,2018-06-16
Karoline Tanche-Larsen,F,SBD,21.5,83.65,84,160.0,95.0,170.0,425.0,2017-12-16
Eirin Herland,F,SBD,48.0,96.65,84+,110.0,70.0,132.5,312.5,2017-12-16
Marton Hodnefjell,M,SBD,21.5,84.15,93,170.0,135.0,220.0,525.0,2017-12-16
Tarald Knudsen Øvrebø,M,SBD,21.5,105.0,105,260.0,180.0,280.0,720.0,2017-12-16
Alastair McColl,M,SBD,35.5,138.2,120+,255.0,205.0,260.0,720.0,2017-12-16
Anita Camilla Bratland,F,SBD,28.5,71.0,72,127.5,77.5,132.5,337.5,2018-08-25
Magnus Eide Knutsen,M,SBD,19.5,82.8,83,157.5,130.0,140.0,427.5,2018-08-25
Benjamin Rastum,M,SBD,18.5,90.8,93,225.0,150.0,240.0,615.0,2018-08-25
Knut Martin Haraldsen,M,SBD,23.5,95.6,105,270.0,200.0,300.0,770.0,2018-08-25
Geir Arne Giseth,M,SBD,51.5,119.6,120,235.0,162.5,282.5,680.0,2018-08-25
Marit Pettersen,F,SBD,59.5,90.15,84+,90.0,47.5,120.0,257.5,2014-01-11
Jøran Langset,M,SBD,36.5,78.1,83,215.0,137.5,245.0,597.5,2014-01-11
Sebastian Bruvik,M,SBD,15.5,63.8,66,110.0,87.5,140.0,337.5,2016-08-16
Stine Liverød,F,SBD,23.5,78.15,84,100.0,67.5,125.0,292.5,2016-02-06
Marton Hodnefjell,M,SBD,20.5,78.1,83,150.0,125.0,200.0,475.0,2016-02-06
Fredrik Ingebrigtsen,M,SBD,20.5,88.4,90,207.5,175.0,242.5,625.0,2010-09-25
Dina Lorentzen,F,SBD,17.5,69.24,72,135.0,87.5,172.5,395.0,2017-09-14
Isabell Adolfsen,F,SBD,17.5,67.88,72,135.0,75.0,170.0,380.0,2017-09-14
Pernille Stenberg,F,SBD,22.5,47.0,47,100.0,77.5,125.0,302.5,2017-09-14
Malin Narum Kvamsdal,F,SBD,22.5,46.31,47,92.5,62.5,112.5,267.5,2017-09-14
Silje Haube,F,SBD,22.5,67.46,72,125.0,90.0,155.0,370.0,2017-09-14
Karoline Tanche-Larsen,F,SBD,21.5,82.74,84,150.0,90.0,162.5,402.5,2017-09-14
Sara Svanes,F,SBD,21.5,81.62,84,147.5,92.5,140.0,380.0,2017-09-14
Andre Sørlie Nilsen,M,SBD,17.5,82.75,83,212.5,120.0,258.0,590.5,2017-09-14
Ali Hamdan,M,SBD,17.5,93.0,93,264.5,150.0,285.5,700.0,2017-09-14
Mathias Hergot,M,SBD,17.5,89.35,93,190.0,140.0,212.5,542.5,2017-09-14
Chido Nnoli,M,SBD,19.5,81.29,83,225.0,150.0,293.0,668.0,2017-09-14
Jacob Florelius,M,SBD,18.5,82.98,83,185.0,155.0,245.0,585.0,2017-09-14
Damian Steinke,M,SBD,19.5,103.51,105,255.0,157.5,297.5,710.0,2017-09-14
Erik Røen,M,SBD,20.5,136.85,120+,310.0,190.0,320.0,820.0,2017-09-14
André Midtby,M,SBD,26.5,91.63,93,260.0,203.5,295.0,758.5,2018-09-14
Erik Elvsvingen,M,SBD,27.5,91.58,93,262.5,177.5,292.5,732.5,2018-09-14
Helge Hansen,M,SBD,38.5,91.79,93,247.5,162.5,272.5,682.5,2018-09-14
Even Bless Liland,M,SBD,26.5,105.0,105,262.5,198.0,300.0,760.5,2018-09-14
Truls Moe,M,SBD,29.5,103.88,105,272.5,172.5,295.0,740.0,2018-09-14
Øystein Furnes,M,SBD,27.5,104.5,105,260.0,180.0,282.5,722.5,2018-09-14
Geir Øyvind Thorsen,M,SBD,31.5,104.77,105,275.0,165.0,282.5,722.5,2018-09-14
Carl Petter Sommerseth,M,SBD,32.5,118.92,120,303.0,205.0,340.5,848.5,2018-09-14
Ingri Thingstad Storstad,F,SBD,24.5,55.78,57,137.5,85.0,155.0,377.5,2018-09-14
Signe Elisabeth Belden,F,SBD,34.5,62.39,63,157.5,95.0,167.5,420.0,2018-09-14
Monica S. Rasmussen,F,SBD,45.5,62.74,63,160.0,72.5,157.5,390.0,2018-09-14
Marte Elverum,F,SBD,28.0,71.79,72,163.0,87.5,220.0,470.5,2018-09-14
Marte Kjenner,F,SBD,28.5,71.97,72,165.0,92.5,182.5,440.0,2018-09-14
Stine Liverød,F,SBD,25.5,70.88,72,160.0,100.0,170.0,430.0,2018-09-14
Malene Joensen,F,SBD,22.5,69.65,72,163.5,87.5,160.0,411.0,2018-09-14
Heidi Hille Arnesen,F,SBD,48.0,82.67,84,172.5,87.5,205.0,465.0,2018-09-14
Isabel Carina Nakken Cloin,F,SBD,29.5,82.53,84,170.0,92.5,200.0,462.5,2018-09-14
Karen Tvedt,F,SBD,41.0,82.24,84,185.5,92.5,180.0,458.0,2018-09-14
Julie Berger Johansen,F,SBD,25.5,81.64,84,175.0,90.0,180.0,445.0,2018-09-14
