name,sex,event,age,bodyweightkg,weightclasskg,best3squatkg,best3benchkg,best3deadliftkg,totalkg,date
Martin Borgland Rønning,M,SBD,27.5,154.2,120+,300.0,232.5,292.5,825.0,2012-12-08
Bjørn Flem,M,SBD,47.5,104.5,105,192.5,160.0,220.0,572.5,2012-12-08
Yngve Hopen,M,SBD,27.5,73.43,74,135.0,105.0,200.0,440.0,2012-08-25
Geir Arne Giseth,M,SBD,45.5,136.4,120+,265.0,185.0,315.0,765.0,2012-08-25
Jarle Aaberg,M,SBD,53.5,103.8,105,200.0,160.0,220.0,580.0,2012-08-25
Bengt Eide-Olsen,M,SBD,50.5,100.2,105,170.0,135.0,195.0,500.0,2012-08-25
Marthine Myhr,F,SBD,15.0,59.5,63,65.0,60.0,80.0,205.0,2014-12-13
Hanne Hagen Rotnes,F,SBD,24.5,69.4,72,90.0,80.0,100.0,270.0,2014-12-13
Marton Hodnefjell,M,SBD,19.5,76.3,83,130.0,125.0,210.0,465.0,2015-02-14
Tarald Knudsen Øvrebø,M,SBD,19.5,90.0,93,225.0,140.0,252.5,617.5,2015-02-14
Tor-Herman Omland,M,SBD,37.5,111.4,120,250.0,200.0,285.0,735.0,2015-02-14
Anita Camilla Bratland,F,SBD,28.5,69.9,72,112.5,70.0,120.0,302.5,2018-06-23
Helge Sviland,M,SBD,44.5,91.55,93,180.0,145.0,210.0,535.0,2020-08-22
Ole Andreas Ådnanes,M,SBD,47.5,86.05,93,150.0,137.5,155.0,442.5,2020-08-22
Bjørn Andreas Bull-Hansen,M,SBD,39.5,104.4,105,245.0,182.5,300.0,727.5,2012-02-11
Sunniva Nordskog,F,SBD,31.5,64.8,72,120.0,85.0,140.0,345.0,2018-03-17
Benjamin Rastum,M,SBD,18.5,81.6,83,185.0,130.0,220.0,535.0,2018-03-17
Thomas Lillejord,M,SBD,19.5,88.0,93,170.0,145.0,225.0,540.0,2018-03-17
Ørjan Leirheim,M,SBD,42.5,130.9,120+,240.0,190.0,242.5,672.5,2018-03-17
Katrine Nystad Kvitvær,F,SBD,23.5,62.0,63,117.5,70.0,145.0,332.5,2018-09-08
Runi Hammerø Sparby,F,SBD,40.5,93.13,84+,142.5,80.0,160.0,382.5,2018-09-08
Birgitte Lorentzen,F,SBD,42.5,108.45,84+,140.0,82.5,145.0,367.5,2018-09-08
Rita Pernille Bråthen,F,SBD,49.5,94.65,84+,130.0,72.5,160.0,362.5,2018-09-08
Tove Michalsen,F,SBD,58.5,86.84,84+,115.0,60.0,135.0,310.0,2018-09-08
Bjørn Gunnar Johansen,M,SBD,46.5,113.12,120,280.0,210.0,310.0,800.0,2018-09-08
Jan-Roger Johansen,M,SBD,50.5,103.72,105,255.0,137.5,225.0,617.5,2018-09-08
Eskild Sommernes,M,SBD,59.5,100.18,105,145.0,125.0,220.0,490.0,2018-09-08
Espen Kolltveit,M,SBD,21.5,91.81,93,207.5,155.0,292.5,655.0,2018-09-08
Lillann Haaland,F,SBD,18.5,62.35,63,102.5,80.0,130.0,312.5,2013-12-07
Alexander Lancaster,M,SBD,15.5,78.2,83,155.0,105.0,175.0,435.0,2013-12-07
